"Mean latency [ms]",Count
0,7834573
2,9163773
4,5991401
6,4751011
8,3873485
10,3563955
12,4199135
14,4738072
16,3657745
18,3891954
20,3938659
22,3608815
24,3965273
26,3354620
28,2981785
30,2657492
32,1856798
34,1614604
36,1777386
38,1566189
40,1823594
42,1848458
44,1748591
46,2267911
48,2405841
50,2148007
52,1819678
54,2095430
56,2559745
58,2079212
60,1954352
62,1905329
64,1357871
66,1861011
68,2840220
70,2829123
72,2322997
74,2443355
76,2239789
78,2258030
80,2372634
82,1757888
84,1929889
86,1613421
88,1492921
90,979018
92,839112
94,711548
96,1241839
98,679284
100,554753
102,565567
104,571750
106,597572
108,658426
110,604534
112,655859
114,753865
116,580297
118,607594
120,595164
122,462846
124,458847
126,589635
128,396353
130,529683
132,463378
134,407717
136,459676
138,295720
140,245459
142,208371
144,152720
146,308571
148,204479
