"Mean latency [ms]",Count
"-50",47446
"-48",50155
"-46",49910
"-44",51844
"-42",53944
"-40",59363
"-38",59045
"-36",56684
"-34",56402
"-32",55536
"-30",55722
"-28",58865
"-26",55334
"-24",60277
"-22",65152
"-20",71497
"-18",79441
"-16",92163
"-14",105707
"-12",127935
"-10",158330
"-8",219707
"-6",326502
"-4",548796
"-2",1512979
0,7833239
2,9165713
4,5988640
6,4750760
8,3872681
10,3566445
12,4200342
14,4740250
16,3655455
18,3892699
20,3937627
22,3611360
24,3966560
26,3353723
28,2982090
30,2657338
32,1854006
34,1613233
36,1776258
38,1567155
40,1822231
42,1846582
44,1750536
46,2270382
48,2406577
50,2151431
52,1820734
54,2095607
56,2561105
58,2078376
60,1955128
62,1904569
64,1358130
66,1862893
68,2844151
70,2833177
72,2324296
74,2444845
76,2240389
78,2257696
80,2376556
82,1759401
84,1928442
86,1610918
88,1491567
90,978471
92,837573
94,712147
96,1242128
98,677418
100,552224
102,564084
104,571787
106,597514
108,655957
110,603913
112,656111
114,753952
116,582673
118,608395
120,595122
122,463237
124,460060
126,589053
128,395560
130,529933
132,464668
134,409127
136,459174
138,295120
140,245578
142,207780
144,152191
146,308686
148,204499
